rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,comments,kudos,bookmarks,hits,persephone_agency,hades_agency,agency_diff,hades_power,persephone_power,power_diff
Mature,['F/M'],"['Hadestown - Mitchell', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Hadestown)', 'Hades/Persephone (Ancient Greek Religion & Lore)']","['Hades (Hadestown)', 'Hades (Ancient Greek Religion & Lore)', 'Persephone (Hadestown)', 'Persephone (Ancient Greek Religion & Lore)']","['First Meetings', 'Mild Sexual Content', 'Older Man/Younger Woman', 'Short & Sweet', 'Short One Shot', 'Heavy Petting', 'Teasing', 'Femdom', 'Love Confessions']",English,2022-06-16,Completed,2022-06-16,602,,26.0,1.0,423,0.28125,,,,0.03125,
General Audiences,['F/F'],"['Hadestown - Mitchell', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Hadestown)', 'Hades/Persephone (Ancient Greek Religion & Lore)']","['Persephone (Hadestown)', 'Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Hades (Hadestown)', 'Demeter (Hadestown)', 'Demeter (Ancient Greek Religion & Lore)']","['Female Hades/Female Persephone (Ancient Greek Religion & Lore)', 'Goodbyes', 'Spring', 'Soft Hades (Hadestown)', 'Short & Sweet', 'Older Woman/Younger Woman']",English,2022-06-11,Completed,2022-06-11,433,,29.0,1.0,386,,0.5,,0.5,,
Teen And Up Audiences,['F/M'],"['Hadestown - Mitchell', 'Ancient Greek Religion & Lore']","['Demeter & Persephone (Hadestown)', 'Demeter & Persephone (Ancient Greek Religion & Lore)', 'Hades/Persephone (Hadestown)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Melinoe (Ancient Greek Religion & Lore) & Persephone (Hadestown)']","['Demeter (Hadestown)', 'Demeter (Ancient Greek Religion & Lore)', 'Persephone (Hadestown)', 'Persephone (Ancient Greek Religion & Lore)', 'Hades (Hadestown)', 'Hades (Ancient Greek Religion & Lore)', 'Melinoe (Ancient Greek Religion & Lore)']","['Silly', 'Cute', 'Motherhood', 'Mother-Daughter Relationship', 'Pregnancy', 'Kid Fic', 'Soft Hades (Hadestown)', 'Loving Hades/Persephone (Ancient Greek Religion & Lore)']",English,2022-06-11,Completed,2022-06-11,482,1.0,33.0,2.0,444,,,,,,
Teen And Up Audiences,"['F/M', 'Gen']",['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)']","['Loneliness', 'Angst', 'Ambiguous Relationships', 'Ambiguous/Open Ending', 'Character Study', 'Hurt/Comfort Exchange 2022']",English,2022-06-11,Completed,2022-06-11,1059,11.0,26.0,1.0,206,,,,,,
Not Rated,['F/M'],"['Hades (Video Game 2018)', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Hades Video Game)', 'Hades & Zagreus (Hades Video Game)']","['Hades (Hades Video Game)', 'Persephone (Hades Video Game)', 'Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)']","['Angst', 'Grief/Mourning', 'Miscarriage', 'Mild Smut']",English,2022-06-10,Completed,2022-06-10,1814,1.0,40.0,3.0,382,,,,,,
Not Rated,"['F/F', 'F/M', 'M/M', 'Multi', 'Other']",['Ancient Greek Religion & Lore'],"['Ariadne/Dionysus (Ancient Greek Religion & Lore)', 'Amphitrite/Poseidon (Ancient Greek Religion & Lore)', 'Artemis/Athena (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Apollo & Hermes (Ancient Greek Religion & Lore)', 'Hera & Hecate (Ancient Greek Religion & Lore)', 'Past Ariadne/Theseus (Ancient Greek Religion & Lore)', 'Hera/Zeus (Ancient Greek Religion & Lore)']","['Ariadne (Ancient Greek Religion & Lore)', 'Dionysus (Ancient Greek Religion & Lore)', 'Amphitrite (Ancient Greek Religion & Lore)', 'Poseidon (Ancient Greek Religion & Lore)', 'Artemis (Ancient Greek Religion & Lore)', 'Apollo (Ancient Greek Religion & Lore)', 'Athena (Ancient Greek Religion & Lore)', 'Hermes (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Hera (Ancient Greek Religion & Lore)', 'Hecate (Ancient Greek Religion & Lore)', 'Theseus (Ancient Greek Religion & Lore)', 'Zeus (Ancient Greek Religion & Lore)', 'Thanatos (Ancient Greek Religion & Lore)']","['tws in top note', 'idk how people mass post on here', 'its exhausting', 'party on olympus', 'apollo and hermes are the best', 'i love their games', 'silent supporters', 'and would totally help u with ur anger toward ur exes', 'Wedding Night', 'the afterparty of a wedding olympus style', 'Ariadnes self worth and confidence issues', 'fuck u mortals', 'for making her feel this way', 'amphitrite and poseidon being in an open relationship and flirting with others together', 'a deadly combination if u ask me', 'Fluff', 'Domestic Fluff']",English,2022-06-09,Completed,2022-06-09,1550,,23.0,1.0,395,,,,,,
General Audiences,[''],"['Hades (Video Game 2018)', 'Ancient Greek Religion & Lore']","['Cerberus & Hades (Hades Video Game)', 'Hades/Persephone (Hades Video Game)']","['Cerberus (Hades Video Game)', 'Hades (Hades Video Game)', 'Hades (Ancient Greek Religion & Lore)', 'Cerberus (Ancient Greek Religion & Lore)']",[''],English,2022-06-06,Completed,2022-06-06,288,2.0,35.0,3.0,270,0.25,0.2222222222222222,-0.02777777777777779,0.3333333333333333,-0.25,0.5833333333333333
Not Rated,['F/M'],['Ex nihilo nihil fit'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Pregnant Hades', 'Mpreg', 'First Time Feeling Baby Kick', 'unborn baby transferred from mother to father']",English,2022-05-24,Completed,2022-05-24,1348,3.0,64.0,2.0,471,,1.0,,1.0,,
Teen And Up Audiences,['F/M'],"['Hadestown - Mitchell', 'Ancient Greek Religion & Lore']","['Hades/Persephone (Hadestown)', 'Hades/Persephone (Ancient Greek Religion & Lore)']","['Persephone (Hadestown)', 'Persephone (Ancient Greek Religion & Lore)', 'Hades (Hadestown)', 'Hades (Ancient Greek Religion & Lore)', 'Demeter (Hadestown)', 'Demeter (Ancient Greek Religion & Lore)', 'Hermes (Hadestown)', 'Hermes (Ancient Greek Religion & Lore)', 'Zagreus (Ancient Greek Religion & Lore)']","['Childbirth', 'Stillbirth', 'Character Death', 'Temporary Character Death', 'Child Death', 'Angst with a Happy Ending', 'Angst', 'Short One Shot', 'Short & Sweet']",English,2022-05-12,Completed,2022-05-12,511,4.0,58.0,3.0,511,,,,,,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)']","['Bargaining', 'Developing Relationship', 'Name Changes']",English,2022-05-11,Completed,2022-05-11,198,,14.0,1.0,211,,,,,,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)']",[''],English,2022-05-06,Completed,2022-05-06,1041,2.0,35.0,1.0,253,-0.043478260869565216,,,,-0.5217391304347826,
